class,cbo,wmc,lcom
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest87,4,1,0
com.alibaba.druid.admin.service.MonitorStatService,23,84,149
com.alibaba.druid.bvt.filter.wall.WallCallTest,1,3,3
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateFunctionTest_4,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest88,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest85,5,1,0
com.alibaba.druid.sql.dialect.hive.stmt.HiveCreateFunctionStatement$ResourceType,0,0,0
com.alibaba.druid.bvt.sql.mysql.show.MySqlShowTest_42_dla,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest86,5,2,1
com.alibaba.druid.sql.ast.statement.SQLAlterTableRenamePartition,4,6,4
com.alibaba.druid.bvt.pool.TestRemoveAbandoned2,4,4,0
com.alibaba.druid.bvt.sql.ExportParameterInTest,5,2,0
com.alibaba.druid.util.ListDG$Edge,0,1,0
com.alibaba.druid.support.quartz.DruidQuartzConnectionProvider,2,2,1
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlUpdateTableSource,6,11,0
com.alibaba.druid.bvt.pool.TestOracleWrap2,7,4,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest72,2,1,0
com.alibaba.druid.bvt.sql.h2.H2ResourceTest,6,9,15
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest70,2,1,0
com.alibaba.druid.pool.JDBC4ValidConnectionChecker,2,3,1
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest71,2,1,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_42_with_cte,4,1,0
com.alibaba.druid.support.http.stat.WebSessionStat,7,63,690
com.alibaba.druid.pool.vendor.PGValidConnectionChecker,2,4,1
com.alibaba.druid.sql.ast.expr.SQLSequenceExpr,8,25,0
com.alibaba.druid.bvt.sql.PagerUtilsTest_Count_Oracle_0,1,5,10
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest78,2,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest79,2,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest76,2,1,0
com.alibaba.druid.bvt.pool.basic.PoolableStatementTest3$Anonymous1,0,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest77,2,1,0
com.alibaba.druid.sql.dialect.oracle.ast.OraclePartitionSingle,7,42,509
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest74,2,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest75,2,1,0
com.alibaba.druid.bvt.sql.eval.EvalAndOrTest,1,2,1
com.alibaba.druid.bvt.pool.basic.PoolableStatementTest3$Anonymous2,0,1,0
com.alibaba.druid.bvt.support.http.UserAgentAndroid_4_3_Test_2,2,1,0
com.alibaba.druid.bvt.sql.eval.EvalMethodPITest,1,1,0
com.alibaba.druid.wall.WallSQLException,0,2,1
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest61,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest62,4,1,0
